trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5117085777865424, 'e': 0.009186686156244664}",25,7,-14.544991929113616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5066169923655895, 'e': 0.008565609397498054}",20,5,26.244011437232516,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5015760690660555, 'e': 0.007986521265955502}",30,20,16.830387460929064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.49658530379140947, 'e': 0.007446583070924338}",35,16,-9.711565477249518,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.4916441974609651, 'e': 0.0069431480347461084}",25,20,10.81571397538985,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4867522559599717, 'e': 0.006473748318289399}",25,11,-16.48072038087782,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.48190899009020244, 'e': 0.006036082923599565}",30,4,37.18924708192026,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4771139155210344, 'e': 0.00562800641440406}",20,11,16.564611291841935,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4723665527410147, 'e': 0.005247518399181379}",20,14,10.153392090275066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.46766642700990924, 'e': 0.004892753725239476}",20,14,11.741495242270222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.46301306831122807, 'e': 0.004561973335735092}",25,10,25.092424526314492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4584060113052235, 'e': 0.004253555744815122}",25,19,11.159056314805774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.45384479528235583, 'e': 0.003965989089091065}",20,11,-3.5532695100388043,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.44932896411722156, 'e': 0.003697863716482929}",25,14,23.24683125142283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.4448580662229411, 'e': 0.0034478652761031235}",20,0,32.368204218431735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.44043165450599925, 'e': 0.00321476827530687}",25,3,30.47865924731714,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.43604928632153556, 'e': 0.0029974300723258286}",25,17,15.055250840439925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.43171052342907973, 'e': 0.002794785275036841}",20,13,12.789893471815432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4274149319487267, 'e': 0.0026058405184084983}",35,21,28.237531177124986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4231620823177488, 'e': 0.0024296695950245953}",30,19,20.325926039784907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.418951549247639, 'e': 0.0022654089148143202}",30,17,27.949752767040067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4147829116815814, 'e': 0.002112253271732714}",30,18,20.490629443836436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4106557527523455, 'e': 0.0019694518966397014}",20,15,7.9376061446129285,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4065696597405991, 'e': 0.0018363047770289056}",25,13,19.780735142735463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.40252422403363597, 'e': 0.0017121592255655213}",30,8,35.46444704617873,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.39851904108451414, 'e': 0.0015964066806122474}",25,3,-7.951207542465694,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.3945537103716011, 'e': 0.0014884797230594279}",20,7,14.135948159824775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3906278353585211, 'e': 0.0013878492948359276}",30,19,16.36170952939481,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
